Ticker,CIK,Company
AXP,4962,American Express Company
AAPL,320193,Apple Inc.
BA,12927,The Boeing Company
CAT,18230,Caterpillar Inc.
CSCO,858877,"Cisco Systems, Inc."
CVX,93410,Chevron Corporation
DIS,1001039,The Walt Disney Company
DIS,1744489,The Walt Disney Company
GS,886982,"The Goldman Sachs Group, Inc."
HD,354950,"The Home Depot, Inc."
IBM,51143,International Business Machines Corporation
INTC,50863,Intel Corporation
JNJ,200406,Johnson & Johnson
JPM,19617,JPMorgan Chase & Co.
KO,21344,The Coca-Cola Company
MCD,63908,McDonaldâ€™s Corp.
MMM,66740,3M Company
MRK,310158,Merck & Co. Inc.
MSFT,789019,Microsoft Corporation
NKE,320187,"Nike, Inc."
PG,80424,The Procter & Gamble Company
TRV,86312,"The Travelers Companies, Inc."
UNH,731766,UnitedHealth Group Incorporated
V,1403161,Visa Inc.
VZ,732712,Verizon Communications Inc.
WMT,104169,Wal-Mart Stores Inc.